sorteren op datum. Eerste datum eerst,,,Categories:,Traffic,Humans,Nature,Noise,Music,Other,Silence,Machine
http://mosart.soundappraisal.eu/dataset/570d495919df475e061057f8,,,,,,,,,,,
Fragment #,Filename,Labelaar,Start time,End time,Stressful?,Relaxing?,Sudden?,Category,Interpretation,,
Example,F.(...).wav,Xeryus,00:00:01.250,00:00:11.000,Yes,,No,Traffic,,,
,,,,,,,,,,,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:00.000,00:00:00.809,No,No,No,Other,Silence,,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:00.809,00:00:01.332,Yes,No,Yes,Other,Random,,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:01.332,00:00:06.800,No,No,No,Other,Water,,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:06.800,00:00:07.308,Yes,No,Yes,Other,Clap,,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:07.308,00:00:07.852,Yes,No,Yes,Other,Clap,,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:07.852,00:00:15.682,No,No,No,Other,Random,,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:15.682,00:00:19.000,No,No,No,Human,Speech,,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:19.000,00:00:24.000,No,No,No,Other,Keys ringing,,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:24.000,00:00:27.000,No,No,No,Human,Speech,,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:27.000,00:00:28.600,No,No,No,Other,Silence,,
23,F.de.Vries.11_2016-04-15T13:46:53.000Z,Steven,00:00:28.600,00:00:30.000,No,No,No,Human,Speach,,
4,S.Looije.2_2016-04-14T17:19:52.000Z,Luuk,00:00:00.000,00:00:02.214,No,No,No,Other,Silence,,
4,S.Looije.2_2016-04-14T17:19:52.000Z,Luuk,00:00:02.214,00:00:02.429,Yes,No,Yes,Other,Noise,,
4,S.Looije.2_2016-04-14T17:19:52.000Z,Luuk,00:00:02.429,00:00:30.000,No,No,No,Other,Silence,,
8,S.Looije.2_2016-04-15T13:01:55.000Z,Luuk,00:00:00.000,00:00:02.250,No,No,No,Other,Silence,,
8,S.Looije.2_2016-04-15T13:01:55.000Z,Luuk,00:00:02.250,00:00:03.100,No,No,No,Other,mic movement,,
8,S.Looije.2_2016-04-15T13:01:55.000Z,Luuk,00:00:03.100,00:00:30.000,No,No,No,Other,Silence,,
18,P.van.der.Meulen.4_2016-04-15T12:08:45.000Z,Luuk,00:00:00.000,00:00:30.000,Yes,No,No,Traffic,,Pim knows what this is,
21,T.R.Janssen_2016-04-15T13:06:59.000Z,Luuk,00:00:00.000,00:00:16.606,No,Yes,No,Nature,Birds,,
21,T.R.Janssen_2016-04-15T13:06:59.000Z,Luuk,00:00:16.606,00:00:17.462,No,No,No,Other,bike,,
21,T.R.Janssen_2016-04-15T13:06:59.000Z,Luuk,00:00:17.462,00:00:30.000,No,Yes,No,Nature,Birds,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:00.000,00:00:00.000,Yes,No,No,Other,Noise,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:10.106,00:00:10.346,Yes,No,Yes,Other,beep,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:11.200,00:00:11.400,Yes,No,Yes,Other,beep,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:12.521,00:00:13.038,Yes,No,Yes,Other,Paper?,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:13.234,00:00:13.440,Yes,No,Yes,Other,,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:13.786,00:00:14.223,Yes,No,Yes,Other,,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:17.000,00:00:17.105,Yes,No,Yes,Other,beep,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:17.000,00:00:17.105,No,No,No,Human,speech,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:18.117,00:00:20.000,Yes,No,Yes,Other,stick breaking,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:20.800,00:00:21.000,Yes,No,Yes,Other,beep,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:21.900,00:00:22.100,Yes,No,Yes,Other,beep,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:00.125,00:00:01.000,Yes,No,Yes,Other,movement,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:01.300,00:00:01.650,Yes,No,Yes,Other,movement,,
22,T.R.Janssen_2016-04-15T13:11:30.000Z,Luuk,00:00:03.800,00:00:06.000,No,No,Yes,Human,speech,,
24,m.wirthlin_2016-04-15T15:06:21.000Z,Steven,00:00:00.000,00:00:30.000,No,No,No,Other,,,
24,m.wirthlin_2016-04-15T15:06:21.000Z,Steven,00:00:00.000,00:00:02.303,No,No,No,Other,Water,,
24,m.wirthlin_2016-04-15T15:06:21.000Z,Steven,00:00:11:900,00:00:12.500,No,No,No,Other,mouseclick,,
24,m.wirthlin_2016-04-15T15:06:21.000Z,Steven,00:00:13.050,00:00:13.700,No,No,No,Other,mouseclick,,
24,m.wirthlin_2016-04-15T15:06:21.000Z,Steven,00:00:18.300,00:00:18.788,No,No,No,Other,mouseclick,,
24,m.wirthlin_2016-04-15T15:06:21.000Z,Steven,00:00:19.750,00:00:20.278,No,No,No,Other,mouseclick,,
24,m.wirthlin_2016-04-15T15:06:21.000Z,Steven,00:00:20.497,00:00:21.446,No,No,No,Other,mouseclick,,
24,m.wirthlin_2016-04-15T15:06:21.000Z,Steven,00:00:22.407,00:00:29.287,No,No,No,Other,keyboard,,
29,m.wirthlin_2016-04-15T16:29:20.000Z,Steven,00:00:00.000,00:00:00.526,No,No,No,Other,Silence,,
29,m.wirthlin_2016-04-15T16:29:20.000Z,Steven,00:00:00.526,00:00:30.000,Yes,No,No,Music,Music,,
42,T.R.Janssen_2016-04-16T14:52:59.000Z,Steven,00:00:00.000,00:00:30.000,Yes,No,No,Traffic,Car,,
42,T.R.Janssen_2016-04-16T14:52:59.000Z,Steven,00:00:00.000,00:00:30.000,Yes,No,No,Machine,Engine,,
42,T.R.Janssen_2016-04-16T14:52:59.000Z,Steven,00:00:04.266,00:00:05.171,Yes,No,No,Human,Speech,,
52,L.H.Boulogne_2016-04-16T19:08:22.000Z,Steven,00:00:00.000,00:00:30.000,Yes,No,No,Music,Music,,
52,L.H.Boulogne_2016-04-16T19:08:22.000Z,Steven,00:00:00.000,00:00:30.000,Yes,No,No,Human,Speech,,
60,S.M.Romer_2016-04-17T08:44:17.000Z,Steven,00:00:00.000,00:00:00.509,No,No,No,Other,Silence,,
60,S.M.Romer_2016-04-17T08:44:17.000Z,Steven,00:00:00.509,00:00:30.000,Yes,No,No,Other,Wind,,
60,S.M.Romer_2016-04-17T08:44:17.000Z,Steven,00:00:00.509,00:00:30.000,Yes,No,No,Other,Pumping tire,,
10,H.R.Beishuizen_2016-04-15T08:26:47.000Z,Tom,00:00:00.000,00:00:03.782,No,No,No,Traffic,passing vehicle,,
10,H.R.Beishuizen_2016-04-15T08:26:47.000Z,Tom,00:00:00.000,00:00:30.000,No,Yes,No,Nature,birds background,,
10,H.R.Beishuizen_2016-04-15T08:26:47.000Z,Tom,00:00:18.602,00:00:27.000,No,No,No,Traffic,passing vehicle,,
13,H.R.Beishuizen_2016-04-15T08:43:21.000Z,Tom,00:00:00.000,00:00:02.275,Yes,No,Yes,Noise,mic movement,,
13,H.R.Beishuizen_2016-04-15T08:43:21.000Z,Tom,00:00:03.000,00:00:04.544,Yes,No,No,Other,opening drawer,,
13,H.R.Beishuizen_2016-04-15T08:43:21.000Z,Tom,00:00:04.544,00:00:06.614,Yes,No,Yes,Other,cutlery movement,,
13,H.R.Beishuizen_2016-04-15T08:43:21.000Z,Tom,00:00:06.614,00:00:07.264,Yes,No,Yes,Other,drawer closing,,
13,H.R.Beishuizen_2016-04-15T08:43:21.000Z,Tom,00:00:07.500,00:00:08.300,Yes,No,Yes,Other,scraping,,
13,H.R.Beishuizen_2016-04-15T08:43:21.000Z,Tom,00:00:08.950,00:00:18.982,Yes,No,No,Other,stirring noise,,
13,H.R.Beishuizen_2016-04-15T08:43:21.000Z,Tom,00:00:18.982,00:00:20.151,Yes,No,Yes,Other,wood drumming,,
13,H.R.Beishuizen_2016-04-15T08:43:21.000Z,Tom,00:00:20.151,00:00:30.000,Yes,No,No,Other,stirring noise,,
51,P.van.der.Meulen.4_2016-04-16T17:58:30.000Z,Tom,00:00:17.277,00:00:19.304,No,No,Yes,Traffic,distant claxon,,
58,P.van.der.Meulen.4_2016-04-17T07:04:03.000Z,Tom,NA,NA,NA,NA,NA,NA,geen significante geluiden,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:00.530,00:00:01.698,No,No,Yes,Human,speech,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:02.908,00:00:03.061,No,No,Yes,Human,speech,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:04.600,00:00:05.600,No,No,Yes,Noise,wind,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:11.533,00:00:14.224,Yes,No,No,Traffic,passing vehicle,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:05.600,00:00:14.600,Yes,No,Yes,Noise,,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:05.600,00:00:14.600,Yes,No,Yes,Human,,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:05.600,00:00:14.600,Yes,No,Yes,Traffic,,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:14.600,00:00:21.938,No,No,No,Noise,,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:14.600,00:00:21.938,No,No,No,Human,,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:14.600,00:00:21.938,No,No,No,Other,,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:21.938,00:00:22.837,No,No,Yes,Other,Bicycle parking,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:22.837,00:00:26.882,No,No,No,Footsteps,,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:27.400,00:00:32.624,Yes,No,No,Noise,,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:27.400,00:00:32.624,Yes,No,No,Human,,,
76,m.wirthlin_2016-04-17T15:21:45.000Z,Tom,00:00:27.400,00:00:32.624,Yes,No,No,Traffic,,,
99,H.R.Beishuizen_2016-04-18T05:51:11.000Z,Tom,00:00:00.115,00:00:02.327,No,No,No,Noise,Gravel,,
99,H.R.Beishuizen_2016-04-18T05:51:11.000Z,Tom,00:00:05.822,00:00:07.231,No,No,Yes,Nature,Bird,,
99,H.R.Beishuizen_2016-04-18T05:51:11.000Z,Tom,00:00:00.115,00:00:32.763,Yes,No,No,Traffic,Sirens,,
137,P.van.der.Meulen.4_2016-04-19T06:31:51.000Z,Tom,00:00:04.782,00:00:04.939,No,No,Yes,Other,Tick,,
137,P.van.der.Meulen.4_2016-04-19T06:31:51.000Z,Tom,00:00:15.681,00:00:16.956,No,No,No,Human,Sniff,,
153,F.de.Vries.11_2016-04-19T17:15:28.000Z,Tom,00:00:02.804,00:00:04.495,No,No,Yes,Human,Speech,,
153,F.de.Vries.11_2016-04-19T17:15:28.000Z,Tom,00:00:04.403,00:00:04.938,No,No,No,Human,Tsss,,
153,F.de.Vries.11_2016-04-19T17:15:28.000Z,Tom,00:00:13.877,00:00:14.720,No,No,Yes,Human,Speech,,
153,F.de.Vries.11_2016-04-19T17:15:28.000Z,Tom,00:00:20.456,00:00:21.344,Yes,No,Yes,Human,Speech,,
153,F.de.Vries.11_2016-04-19T17:15:28.000Z,Tom,00:00:24.968,00:00:29.884,No,No,No,Human,Laughter/Speech,,
153,F.de.Vries.11_2016-04-19T17:15:28.000Z,Tom,00:00:14.728,00:00:19.295,No,No,No,Human,,,
153,F.de.Vries.11_2016-04-19T17:15:28.000Z,Tom,00:00:14.728,00:00:19.295,No,No,No,Radio,,,
53,P.van.der.Meulen.4_2016-04-16T20-45-29.000Z,Pim,00:00:08.059,00:00:09.036,No,No,No,Other,,,
57,H.R.Beishuizen_2016-04-17T06-12-38.000Z,Pim,NA,NA,NA,NA,NA,NA,geen significante geluiden,,
68,m.wirthlin_2016-04-17T13-36-59.000Z,Pim,00:00:05.815,00:00:06.362,No,No,No,Other,,,
68,m.wirthlin_2016-04-17T13-36-59.000Z,Pim,00:00:21.025,00:00:21.720,No,No,No,Other,,,
95,P.van.der.Meulen.4_2016-04-18T05-13-34.000Z,Pim,00:00:10.589,00:00:11.218,No,No,No,Other,,,
95,P.van.der.Meulen.4_2016-04-18T05-13-34.000Z,Pim,00:00:17.891,00:00:25.869,Yes,No,Yes,Other,,,
97,F.de.Vries.11_2016-04-18T05-32-24.000Z,Pim,00:00:13.132,00:00:29.884,Yes,No,Yes,Mechanical,,,
114,L.H.Boulogne_2016-04-18T08-59-58.000Z,Pim,NA,NA,NA,NA,NA,NA,geen significante geluiden,,
115,T.R.Janssen_2016-04-18T09-01-38.000Z,Pim,00:00:00.000,00:00:01.842,Yes,No,No,Traffic,,,
115,T.R.Janssen_2016-04-18T09-01-38.000Z,Pim,00:00:02.423,00:00:04.313,Yes,No,No,Traffic,,,
115,T.R.Janssen_2016-04-18T09-01-38.000Z,Pim,00:00:08.094,00:00:11.632,Yes,No,No,Traffic,,,
115,T.R.Janssen_2016-04-18T09-01-38.000Z,Pim,00:00:23.845,00:00:30.000,Yes,No,No,Traffic,,,
119,T.R.Janssen_2016-04-18T12-45-50.000Z,Pim,00:00:00.000,00:00:30.000,Yes,No,No,Other,,,
126,F.de.Vries.11_2016-04-18T18-21-49.000Z,Pim,00:00:01.738,00:00:03.524,No,No,No,Human,,,
126,F.de.Vries.11_2016-04-18T18-21-49.000Z,Pim,00:00:03.959,00:00:09.849,No,No,No,Human/Music,,,
126,F.de.Vries.11_2016-04-18T18-21-49.000Z,Pim,00:00:15.014,00:00:15.739,No,No,No,Human,,,
126,F.de.Vries.11_2016-04-18T18-21-49.000Z,Pim,00:00:19.166,00:00:20.808,No,No,No,Human,,,
126,F.de.Vries.11_2016-04-18T18-21-49.000Z,Pim,00:00:24.863,00:00:26.167,No,No,Yes,Human,,,
143,L.H.Boulogne_2016-04-19T09-50-30.000Z,Pim,00:00:17.490,00:00:21.742,No,No,No,Human,,,
143,L.H.Boulogne_2016-04-19T09-50-30.000Z,Pim,00:00:23.820,00:00:24.399,Yes,No,No,Other,,,
143,L.H.Boulogne_2016-04-19T09-50-30.000Z,Pim,00:00:25.414,00:00:27.878,No,No,No,Human,,,
143,L.H.Boulogne_2016-04-19T09-50-30.000Z,Pim,00:00:25.414,00:00:27.878,No,No,No,Radio,,,
26,T.R.Janssen_2016-04-15T16:23:35.000Z,Xeryus,00:00:28.994,00:00:29.317,No,,Yes,Other,,,
30,m.wirthlin_2016-04-15T17:17:42.000Z,Xeryus,NA,NA,NA,,NA,Music,,,
31,S.M.Romer_2016-04-15T21:02:38.000Z,Xeryus,00:00:25.282,00:00:25.811,No,,Yes,Human,Laughter,,
43,S.Bosch.8_2016-04-16T14:56:55.000Z,Xeryus,00:00:00.200,00:00:01.837,No,,No,Other,,,
43,S.Bosch.8_2016-04-16T14:56:55.000Z,Xeryus,00:00:05.417,00:00:10.071,Yes,No,Yes,Other,,,
43,S.Bosch.8_2016-04-16T14:56:55.000Z,Xeryus,00:00:10.670,00:00:13.438,Yes,No,Yes,Other,,,
43,S.Bosch.8_2016-04-16T14:56:55.000Z,Xeryus,00:00:18.991,00:00:21.919,Yes,No,Yes,Other,,,
43,S.Bosch.8_2016-04-16T14:56:55.000Z,Xeryus,00:00:26.462,00:00:30.000,No,,Yes,Other,,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:00.435,00.00.01.111,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:01.449,00:00:02.126,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:02.319,00:00:03.044,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:03.237,00:00:04.010,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:04.300,00:00:04.977,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:05.266,00:00:05.943,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:06.088,00:00:06.957,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:07.199,00:00:07.827,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:08.117,00:00:08.890,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:09.035,00:00:09.856,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:09.953,00:00:10.774,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:10.823,00:00:11.692,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:11.886,00:00:12.659,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:12.804,00:00:13.577,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:13.818,00:00:14.640,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:14.833,00:00:15.606,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:15.847,00:00:16.572,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:16.621,00:00:17.539,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:17.683,00:00:18.457,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:18.650,00:00:19.326,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:19.519,00:00:20.293,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:20.486,00:00:21.259,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:21.597,00:00:22.273,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:22.418,00:00:23.288,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:23.433,00:00:24.206,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:24.303,00:00:25.076,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:25.221,00:00:26.090,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:26.284,00:00:27.008,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:27.202,00:00:28.071,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:28.216,00:00:28.989,No,No,No,Other,clock ticking,,
1,T.R.Janssen_2016-04-14T13-54-01.000Z,Pim,00:00:29.134,00:00:29.907,No,No,No,Other,clock ticking,,
5,m.wirthlin_2016-04-14T20-58-43.000Z,Pim,00:00:00.534,00:00:02.087,Yes,No,Yes,Noise,,,
5,m.wirthlin_2016-04-14T20-58-43.000Z,Pim,00:00:02.621,00:00:03.689,No,Yes,No,Other,moving something wet,,
5,m.wirthlin_2016-04-14T20-58-43.000Z,Pim,00:00:07.184,00:00:08.203,No,No,Yes,Noise,,,
5,m.wirthlin_2016-04-14T20-58-43.000Z,Pim,00:00:11.261,00:00:13.640,No,Yes,No,Other,moving something wet,,
5,m.wirthlin_2016-04-14T20-58-43.000Z,Pim,00:00:16.164,00:00:17.911,No,Yes,No,Other,moving something wet,,
5,m.wirthlin_2016-04-14T20-58-43.000Z,Pim,00:00:21.795,00:00:22.911,No,Yes,No,Other,Scratching,,
5,m.wirthlin_2016-04-14T20-58-43.000Z,Pim,00:00:25.969,00:00:27.425,No,Yes,No,Other,moving something wet,,
27,m.wirthlin_2016-04-15T16-25-47.000Z,Pim,00:00:00.000,00:00:30.000,No,No,No,Music,Electric guitar,,
