sorteren op datum. Eerste datum eerst,,,Categories:,Traffic,Humans,Nature,Noise,Music,Other,Silence,Machine
172,m.wirthlin_2016-04-20T07:14:36.000Z,Rogier,00:00:08.640,00:00:30.000,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:03.210,00:00:04.560,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:05.300,00:00:06.920,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:08.500,00:00:09.400,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:10.220,00:00:10.860,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:11.070,00:00:13.380,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:14.210,00:00:14.610,1,0,1,Noise,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:14.750,00:00:15.120,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:15.120,00:00:16.610,1,0,1,Noise,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:17.200,00:00:20.330,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:20.330,00:00:23.210,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:23.210,00:00:23.880,0,0,0,Laughter,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:23.900,00:00:25.000,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:25.110,00:00:26.940,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:27.430,00:00:28.090,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:28.130,00:00:29.580,0,0,0,Human,,,
181,P.R.de.Weert_2016-04-20T08:22:02.000Z,Rogier,00:00:29.640,00:00:30.000,0,0,0,Human,,,
184,H.R.Beishuizen_2016-04-20T08:51:21.000Z,Rogier,00:00:08.970,00:00:09.300,1,0,1,Noise,,,
184,H.R.Beishuizen_2016-04-20T08:51:21.000Z,Rogier,00:00:14.250,00:00:17.220,0,0,0,Human,,,
184,H.R.Beishuizen_2016-04-20T08:51:21.000Z,Rogier,00:00:15.890,00:00:16.250,1,0,1,Noise,,,
184,H.R.Beishuizen_2016-04-20T08:51:21.000Z,Rogier,00:00:29.410,00:00:30.920,1,0,1,Noise,,,
184,H.R.Beishuizen_2016-04-20T08:51:21.000Z,Rogier,00:00:00.550,00:00:30.920,1,0,0,Traffic,,,
197,R.Mencis_2016-04-20T13:01:19.000Z,Rogier,00:00:00.550,00:00:04.210,0,0,0,Human,,,
197,R.Mencis_2016-04-20T13:01:19.000Z,Rogier,00:00:04.180,00:00:06.550,0,0,0,Noise,,,
197,R.Mencis_2016-04-20T13:01:19.000Z,Rogier,00:00:06.610,00:00:15.090,0,0,0,Noise,,,
197,R.Mencis_2016-04-20T13:01:19.000Z,Rogier,00:00:15.220,00:00:23.040,0,0,0,Human,,,
197,R.Mencis_2016-04-20T13:01:19.000Z,Rogier,00:00:23.220,00:00:29.700,0,0,0,Human,,,
205,P.van.der.Meulen.4_2016-04-21T08:10:26.000Z,Rogier,NA,NA,,,,Silence/wind,,,
207,F.de.Vries.11_2016-04-21T08:58:47.000Z,Rogier,00:00:00.500,00:00:12.680,0,0,0,Noise,,,
207,F.de.Vries.11_2016-04-21T08:58:47.000Z,Rogier,00:00:23.690,00:00:14.230,0,0,0,Human,,,
207,F.de.Vries.11_2016-04-21T08:58:47.000Z,Rogier,00:00:15.130,00:00:15.890,0,0,0,Human,,,
207,F.de.Vries.11_2016-04-21T08:58:47.000Z,Rogier,00:00:17.180,00:00:18.930,0,0,0,Human,,,
207,F.de.Vries.11_2016-04-21T08:58:47.000Z,Rogier,00:00:23.310,00:00:23.580,0,0,0,Human,,,
207,F.de.Vries.11_2016-04-21T08:58:47.000Z,Rogier,00:00:23.950,00:00:25.280,0,0,0,Human,,,
207,F.de.Vries.11_2016-04-21T08:58:47.000Z,Rogier,00:00:26.790,00:00:28.800,0,0,0,Human,,,
207,F.de.Vries.11_2016-04-21T08:58:47.000Z,Rogier,00:00:29.020,00:00:29.390,0,0,0,Human,,,
189,H.R.Beishuizen_2016-04-20T08-56-41.000Z,Pim,00:00:00.000,00:00:30.000,Yes,No,No,Mechanical,,,
189,H.R.Beishuizen_2016-04-20T08-56-41.000Z,Pim,00:00:03.867,00:00:08.824,Yes,No,No,Traffic,Passing car,,
189,H.R.Beishuizen_2016-04-20T08-56-41.000Z,Pim,00:00:03.868,00:00:08.825,Yes,No,Yes,Traffic,Passing something,,
189,H.R.Beishuizen_2016-04-20T08-56-41.000Z,Pim,00:00:10.022,00:00:12.636,Yes,No,Yes,Traffic,Passing something,,
189,H.R.Beishuizen_2016-04-20T08-56-41.000Z,Pim,00:00:12.800,00:00:13.889,Yes,No,Yes,Mechanical,,,
189,H.R.Beishuizen_2016-04-20T08-56-41.000Z,Pim,00:00:13.780,00:00:15.305,Yes,No,Yes,Mechanical,,,
189,H.R.Beishuizen_2016-04-20T08-56-41.000Z,Pim,00:00:13.617,00:00:19.118,Yes,No,No,Traffic,Passing motercycle,,
189,H.R.Beishuizen_2016-04-20T08-56-41.000Z,Pim,00:00:19.064,00:00:20.807,Yes,No,Yes,Mechanical,,,
189,H.R.Beishuizen_2016-04-20T08-56-41.000Z,Pim,00:00:20.970,00:00:22.931,Yes,No,Yes,Mechanical,,,
198,J.Welink_2016-04-20T13-23-25.000Z,Pim,00:00:00.000,00:00:08.938,No,Yes,No,Human,Soft background chatter,,
198,J.Welink_2016-04-20T13-23-25.000Z,Pim,00:00:08.793,00:00:12.514,Yes,No,No,Traffic,Passing motercycle,,
198,J.Welink_2016-04-20T13-23-25.000Z,Pim,00:00:13.770,00:00:19.230,Yes,No,No,Traffic,Motercycle,,
198,J.Welink_2016-04-20T13-23-25.000Z,Pim,00:00:19.085,00:00:21.694,Yes,No,No,Traffic,Motercycle driving away,,
198,J.Welink_2016-04-20T13-23-25.000Z,Pim,00:00:22.853,00:00:23.433,No,No,Yes,Other,Metal ding,,
198,J.Welink_2016-04-20T13-23-25.000Z,Pim,00:00:24.061,00:00:24.544,No,No,Yes,Other,Metal ding,,
200,L.H.Boulogne_2016-04-20T13-50-54.000Z,Pim,00:00:00.000,00:00:00.869,No,No,No,Other,,,
200,L.H.Boulogne_2016-04-20T13-50-54.000Z,Pim,00:00:00.676,00:00:02.462,No,No,No,Human,soft vocal,,
200,L.H.Boulogne_2016-04-20T13-50-54.000Z,Pim,00:00:02.800,00:00:06.566,No,No,No,Human,soft vocal,,
200,L.H.Boulogne_2016-04-20T13-50-54.000Z,Pim,00:00:06.614,00:00:08.304,No,No,No,Human,soft vocal,,
200,L.H.Boulogne_2016-04-20T13-50-54.000Z,Pim,00:00:08.497,00:00:12.118,No,No,No,Human,soft vocal,,
200,L.H.Boulogne_2016-04-20T13-50-54.000Z,Pim,00:00:12.697,00:00:17.042,No,No,No,Human,soft vocal,,
200,L.H.Boulogne_2016-04-20T13-50-54.000Z,Pim,00:00:17.428,00:00:24.718,No,No,No,Human,vocal,,
200,L.H.Boulogne_2016-04-20T13-50-54.000Z,Pim,00:00:24.718,00:00:28.677,No,No,No,Human,vocal,,
200,L.H.Boulogne_2016-04-20T13-50-54.000Z,Pim,00:00:28.677,00:00:30.000,No,No,No,Human,vocal,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:00.000,00:00:01.547,No,No,No,Human,Sigh,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:01.341,00:00:06.757,No,No,No,Human,speech,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:06.860,00:00:07.737,No,No,No,Human,speech,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:07.737,00:00:12.998,No,No,No,Human,speech,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:12.895,00:00:13.565,Yes,No,Yes,Other,Bump,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:13.514,00:00:18.775,No,No,No,Human,Sigh,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:13.978,00:00:14.545,No,No,No,Noise,,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:14.494,00:00:18.465,No,No,No,Human,speech,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:15.525,00:00:15.990,No,No,Yes,Other,Bump,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:17.434,00:00:17.846,Yes,No,Yes,Other,Click,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:20.786,00:00:23.572,No,No,No,Human,speech,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:23.572,00:00:24.036,Yes,No,Yes,Other,Click,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:24.036,00:00:24.655,No,No,Yes,Other,Clap,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:25.067,00:00:25.635,No,No,No,Human,speech,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:25.635,00:00:26.202,No,No,Yes,Other,Clap,,
218,L.H.Boulogne_2016-04-21T11-18-39.000Z,Pim,00:00:28.833,00:00:31.927,No,No,No,Human,speech,,
240,m.wirthlin_2016-04-21T21-27-52.000Z,Pim,00:00:02.725,00:00:30.116,No,Yes,No,Other,Water sounds,,
240,m.wirthlin_2016-04-21T21-27-52.000Z,Pim,00:00:02.481,00:00:03.211,No,No,No,Other,Scraping sound,,
240,m.wirthlin_2016-04-21T21-27-52.000Z,Pim,00:00:00.585,00:00:01.996,Yes,No,No,Noise,,,
241,m.wirthlin_2016-04-21T21-28-59.000Z,Pim,00:00:00.541,00:00:02.116,Yes,No,Yes,Noise,,,
241,m.wirthlin_2016-04-21T21-28-59.000Z,Pim,00:00:02.264,00:00:20.375,No,Yes,No,Other,Water sounds,,
241,m.wirthlin_2016-04-21T21-28-59.000Z,Pim,00:00:20.375,00:00:20.966,No,No,Yes,Other,Scaping sound,,
241,m.wirthlin_2016-04-21T21-28-59.000Z,Pim,00:00:20.917,00:00:22.738,No,No,No,Other,Gurgling noise,,
241,m.wirthlin_2016-04-21T21-28-59.000Z,Pim,00:00:23.033,00:00:30.465,No,No,No,Other,Soft humming,,
243,H.R.Beishuizen_2016-04-22T05-32-48.000Z,Pim,00:00:00.196,00:00:01.569,Yes,No,No,Traffic,Car,,
243,H.R.Beishuizen_2016-04-22T05-32-48.000Z,Pim,00:00:01.863,00:00:04.903,Yes,No,No,Traffic,Car passing by,,
243,H.R.Beishuizen_2016-04-22T05-32-48.000Z,Pim,00:00:05.295,00:00:10.835,Yes,No,No,Traffic,Car passing by,,
243,H.R.Beishuizen_2016-04-22T05-32-48.000Z,Pim,00:00:11.031,00:00:30.348,No,Yes,No,Nature,Birds,,
243,H.R.Beishuizen_2016-04-22T05-32-48.000Z,Pim,00:00:11.276,00:00:16.326,Yes,No,No,Traffic,Car,,
247,T.R.Janssen_2016-04-22T10-57-42.000Z,Pim,00:00:00.000,00:00:26.670,No,No,No,Traffic,Sounds from inside bus,,
247,T.R.Janssen_2016-04-22T10-57-42.000Z,Pim,00:00:15.606,00:00:18.022,Yes,No,No,Other,Alarm,,
247,T.R.Janssen_2016-04-22T10-57-42.000Z,Pim,00:00:17.877,00:00:18.505,No,No,No,Other,Closing door,,
247,T.R.Janssen_2016-04-22T10-57-42.000Z,Pim,00:00:26.574,00:00:30.101,Yes,No,No,Mechanical,Engine revving,,
66,P.van.der.Meulen.4_2016-04-17T12:48:56.000Z,Steven,00:00:03.537,00:00:07.444,No,No,No,Other,Broom,,
66,P.van.der.Meulen.4_2016-04-17T12:48:56.000Z,Steven,00:00:17.889,00:00:18.626,No,Yes,No,Nature,Birds,,
66,P.van.der.Meulen.4_2016-04-17T12:48:56.000Z,Steven,00:00:21.015,00:00:21.892,No,Yes,No,Nature,Birds,,
71,H.R.Beishuizen_2016-04-17T15:00:09.000Z,Steven,00:00:08.884,00:00:13.000,No,Yes,No,Nature,Birds,,
71,H.R.Beishuizen_2016-04-17T15:00:09.000Z,Steven,00:00:09.796,00:00:23.791,Yes,No,No,Traffic,Car,,
71,H.R.Beishuizen_2016-04-17T15:00:09.000Z,Steven,00:00:24.923,00:00:26.172,No,No,No,Human,Speech,,
71,H.R.Beishuizen_2016-04-17T15:00:09.000Z,Steven,00:00:26.508,00:00:27.900,No,Yes,No,Nature,Birds,,
75,m.wirthlin_2016-04-17T15:19:24.000Z,Steven,00:00:00.000,00:00:31.951,Yes,No,No,Noise,Noise/wind/microphone,,
75,m.wirthlin_2016-04-17T15:19:24.000Z,Steven,00:00:00.000,00:00:31.951,Yes,No,No,Human,Speech,,
75,m.wirthlin_2016-04-17T15:19:24.000Z,Steven,00:00:15.777,00:00:23.033,Yes,No,No,Traffic,Scooter,,
75,m.wirthlin_2016-04-17T15:19:24.000Z,Steven,00:00:27.303,00:00:30.114,Yes,No,No,Traffic,Scooter,,
90,T.R.Janssen_2016-04-17T19:05:57.000Z,Steven,00:00:00.000,00:00:30.231,No,No,No,Other,Ticking/clock,,
92,S.Bosch.8_2016-04-17T19:27:57.000Z,Steven,00:00:00.000,00:00:05.696,No,No,No,Human,Speech,,
92,S.Bosch.8_2016-04-17T19:27:57.000Z,Steven,00:00:08.498,00:00:09.683,No,No,No,Human,Speech,,
92,S.Bosch.8_2016-04-17T19:27:57.000Z,Steven,00:00:10.599,00:00:11.206,No,No,No,Human,Speech,,
92,S.Bosch.8_2016-04-17T19:27:57.000Z,Steven,00:00:11.860,00:00:13.400,No,No,No,Human,Speech,,
92,S.Bosch.8_2016-04-17T19:27:57.000Z,Steven,00:00:14.661,00:00:16.902,No,No,No,Human,Speech,,
92,S.Bosch.8_2016-04-17T19:27:57.000Z,Steven,00:00:15.408,00:00:16.902,No,No,No,Human,Yawn,,
92,S.Bosch.8_2016-04-17T19:27:57.000Z,Steven,00:00:18.023,00:00:19.497,No,No,No,Human,Yawn,,
92,S.Bosch.8_2016-04-17T19:27:57.000Z,Steven,00:00:18.023,00:00:19.497,No,No,No,Human,Speech,,
92,S.Bosch.8_2016-04-17T19:27:57.000Z,Steven,00:00:19.710,00:00:20.631,No,No,No,Human,Speech,,
92,S.Bosch.8_2016-04-17T19:27:57.000Z,Steven,00:00:21.385,00:00:22.645,No,No,No,Human,Speech,,
92,S.Bosch.8_2016-04-17T19:27:57.000Z,Steven,00:00:22.785,00:00:24.046,No,No,No,Human,Speech,,
92,S.Bosch.8_2016-04-17T19:27:57.000Z,Steven,00:00:29.136,00:00:30.163,No,No,No,Human,Speech,,
94,H.R.Beishuizen_2016-04-18T04:22:24.000Z,Steven,00:00:01.859,00:00:04.787,Yes,No,No,Other,Scraping,,
98,H.R.Beishuizen_2016-04-18T05:40:52.000Z,Steven,00:00:00.000,00:00:31.577,Yes,No,No,Mechanical,Motor,,
98,H.R.Beishuizen_2016-04-18T05:40:52.000Z,Steven,00:00:00.000,00:00:31.577,Yes,No,No,Human,Speech,,
108,P.R.de.Weert_2016-04-18T06:55:59.000Z,Steven,00:00:00.787,00:00:29.861,Yes,No,No,Traffic,Traffic,,
108,P.R.de.Weert_2016-04-18T06:55:59.000Z,Steven,00:00:13.518,00:00:15.124,Yes,No,No,Human,Speech,,
108,P.R.de.Weert_2016-04-18T06:55:59.000Z,Steven,00:00:24.120,00:00:24.793,Yes,No,Yes,Other,Bike standard,,
110,J.van.de.Wolfshaar_2016-04-18T06:59:15.000Z,Steven,00:00:00.231,00:00:07.448,No,No,No,Human,Speech,,
110,J.van.de.Wolfshaar_2016-04-18T06:59:15.000Z,Steven,00:00:07.957,00:00:13:647,Yes,No,Yes,Mechanical,,,
110,J.van.de.Wolfshaar_2016-04-18T06:59:15.000Z,Steven,00:00:08.743,00:00:24.661,Yes,No,No,Human,Speech,,
110,J.van.de.Wolfshaar_2016-04-18T06:59:15.000Z,Steven,00:00:26.461,00:00:29:838,Yes,No,Yes,Mechanical,,,
132,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
144,P.van.der.Meulen.4_2016-04-19T09:52:44.000Z,Steven,00:00:02.234,00:00:03.116,Yes,No,Yes,Other,Clap,,
144,P.van.der.Meulen.4_2016-04-19T09:52:44.000Z,Steven,00:00:07.818,00:00:08.644,Yes,No,Yes,Other,Backspace bashing,,
149,J.van.de.Wolfshaar_2016-04-19T14:00:47.000Z,Steven,00:00:00.000,00:00:29.838,No,No,No,Human,Speech,,
149,J.van.de.Wolfshaar_2016-04-19T14:00:47.000Z,Steven,00:00:00.000,00:00:29.838,No,No,No,Other,TV,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:00.144,00:00:00.491,0,0,0,Human,,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:00.817,00:00:01.022,1,0,1,Noise,Clap,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:01.763,00:00:02.756,0,0,0,Human,,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:02.945,00:00:03.035,1,0,1,Noise,Thump,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:05.860,00:00:06.805,0,0,0,Human,,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:07.719,00:00:08.151,0,0,0,Human,,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:09.900,00:00:10.207,1,0,1,Noise,,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:10.217,00:00:10.429,1,0,1,Noise,,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:10.450,00:00:10.505,1,0,1,Noise,,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:10.803,00:00:12.485,0,0,0,Human,,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:13.345,00:00:13.800,1,0,1,Noise,Telephone,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:15.660,00:00:15.760,1,0,1,Noise,Tick,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:16.000,00:00:16.243,1,0,1,Noise,Beep,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:17.780,00:00:18.255,1,0,1,Noise,Beep,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:18.269,00:00:18.600,1,0,1,Noise,Boom,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:18.965,00:00:19.620,1,0,1,Noise,Beep,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:19.700,00:00:21.850,0,0,0,Human,,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:22.270,00:00:23.250,0,0,0,Human,,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:23.750,00:00:27.750,0,0,0,Human,,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:27.700,00:00:30.000,0,0,0,Human,,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:30.280,00:00:30.900,1,0,1,Noise,Beep,,
219,P.van.der.Meulen.4_2016-04-21T11:19:16.000Z,Rogier,00:00:31.590,00:00:32.100,1,0,1,Noise,Beep,,
221,J.Welink_2016-04-21T11:28:03.000Z,Rogier,00:00:00.270,00:00:01.000,0,0,0,Human,,,
221,J.Welink_2016-04-21T11:28:03.000Z,Rogier,00:00:02.300,00:00:05.000,0,0,0,Human,,,
221,J.Welink_2016-04-21T11:28:03.000Z,Rogier,00:00:05.850,00:00:08.980,0,0,0,Human,,,
221,J.Welink_2016-04-21T11:28:03.000Z,Rogier,00:00:09.060,00:00:09.170,1,0,1,Noise,Clap,,
221,J.Welink_2016-04-21T11:28:03.000Z,Rogier,00:00:11.000,00:00:15.100,0,0,0,Human,,,
221,J.Welink_2016-04-21T11:28:03.000Z,Rogier,00:00:18.360,00:00:21.650,1,0,0,Noise,Drumming,,
228,S.Bosch.8_2016-04-21T16:59:57.000Z,Rogier,00:00:01.900,00:00:02.270,0,0,0,Noise,,,
228,S.Bosch.8_2016-04-21T16:59:57.000Z,Rogier,00:00:28.260,00:00:28.950,1,0,1,Noise,,,
233,,Rogier,NA,NA,,,,Silence,,,
238,R.Mencis_2016-04-21T08:51:21.000Z,Rogier,00:00:00.550,00:00:03.540,0,0,0,Noise,Wind,,
238,R.Mencis_2016-04-21T08:51:21.000Z,Rogier,00:00:05.490,00:00:06.110,0,0,0,Noise,Wind,,
238,R.Mencis_2016-04-21T08:51:21.000Z,Rogier,00:00:06.620,00:00:12.320,0,0,0,Noise,Wind,,
238,R.Mencis_2016-04-21T08:51:21.000Z,Rogier,00:00:15.650,00:00:16.530,0,0,0,Noise,Wind,,
